(-2.4871,-0.684654),(23288.5,0)
(-3.04231,-1.36158),(15781.3,0)
(-2.47229,-1.06911),(21768.2,0)
(-2.532,-0.504877),(23205.8,0)
(-2.77491,-0.632924),(19928.3,0)
(-2.79002,-0.140382),(20782.2,0)
(-3.36435,-0.913553),(14961.8,0)
(-2.53755,-1.68279),(17799,0)
(-3.43332,-1.0108),(14431.4,0)
(-3.04668,-0.336258),(18010.2,0)
(-3.53669,-0.27776),(14740.1,0)
(-2.53648,-0.235547),(23815.5,0)
(-2.91964,-0.446128),(18939.5,0)
(-2.54771,-0.556864),(22829,0)
(-2.47944,-0.255955),(24677.7,0)
(-2.59993,-0.417495),(22488.9,0)
(-3.35784,-0.346746),(15749.7,0)
(-2.65363,-1.46837),(17972.6,0)
(-2.88346,-0.31075),(19509.3,0)
(-3.07173,-0.480079),(17601,0)
(-2.45927,-0.563547),(24204,0)
(-2.53242,-0.675242),(22657.9,0)
